household_id,building_id,estimated_population,estimated
hh_0001,bldg_0002,3,True
hh_0002,bldg_0003,5,True
hh_0003,bldg_0004,5,True
hh_0004,bldg_0005,3,True
hh_0005,bldg_0006,5,True
hh_0006,bldg_0007,4,True
hh_0007,bldg_0009,3,True
hh_0008,bldg_0010,3,True
hh_0009,bldg_0012,5,True
hh_0010,bldg_0013,4,True
hh_0011,bldg_0015,3,True
hh_0012,bldg_0016,5,True
hh_0013,bldg_0017,5,True
hh_0014,bldg_0018,4,True
hh_0015,bldg_0019,3,True
hh_0016,bldg_0020,3,True
hh_0017,bldg_0021,5,True
hh_0018,bldg_0022,3,True
hh_0019,bldg_0023,3,True
hh_0020,bldg_0024,5,True
hh_0021,bldg_0025,4,True
hh_0022,bldg_0026,3,True
hh_0023,bldg_0027,3,True
hh_0024,bldg_0028,4,True
hh_0025,bldg_0030,5,True
hh_0026,bldg_0031,3,True
hh_0027,bldg_0032,3,True
hh_0028,bldg_0033,3,True
hh_0029,bldg_0034,4,True
hh_0030,bldg_0035,3,True
hh_0031,bldg_0037,5,True
hh_0032,bldg_0038,5,True
hh_0033,bldg_0039,3,True
hh_0034,bldg_0040,3,True
hh_0035,bldg_0041,3,True
hh_0036,bldg_0043,4,True
hh_0037,bldg_0044,3,True
hh_0038,bldg_0045,3,True
hh_0039,bldg_0046,5,True
hh_0040,bldg_0047,5,True
hh_0041,bldg_0048,5,True
hh_0042,bldg_0049,5,True
hh_0043,bldg_0050,4,True
hh_0044,bldg_0051,4,True
hh_0045,bldg_0052,4,True
hh_0046,bldg_0053,4,True
hh_0047,bldg_0054,3,True
hh_0048,bldg_0055,5,True
hh_0049,bldg_0056,5,True
hh_0050,bldg_0058,5,True
hh_0051,bldg_0059,3,True
hh_0052,bldg_0060,3,True
hh_0053,bldg_0061,5,True
hh_0054,bldg_0063,5,True
hh_0055,bldg_0064,3,True
hh_0056,bldg_0066,5,True
hh_0057,bldg_0067,4,True
hh_0058,bldg_0069,4,True
hh_0059,bldg_0071,5,True
hh_0060,bldg_0072,4,True
hh_0061,bldg_0073,3,True
hh_0062,bldg_0074,3,True
hh_0063,bldg_0075,4,True
hh_0064,bldg_0076,3,True
hh_0065,bldg_0077,4,True
hh_0066,bldg_0078,5,True
hh_0067,bldg_0080,5,True
hh_0068,bldg_0081,4,True
hh_0069,bldg_0082,4,True
hh_0070,bldg_0083,4,True
hh_0071,bldg_0084,4,True
hh_0072,bldg_0085,4,True
hh_0073,bldg_0086,5,True
hh_0074,bldg_0087,3,True
hh_0075,bldg_0088,5,True
hh_0076,bldg_0089,4,True
hh_0077,bldg_0090,5,True
hh_0078,bldg_0091,3,True
hh_0079,bldg_0092,5,True
hh_0080,bldg_0093,4,True
hh_0081,bldg_0094,5,True
hh_0082,bldg_0095,4,True
hh_0083,bldg_0096,5,True
hh_0084,bldg_0097,3,True
hh_0085,bldg_0098,3,True
